<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GC,I,20250108,123000,2664.4,2664.6,2661.4,2661.7,773,0
GC,I,20250108,123500,2661.7,2662.3,2660.3,2661.2,1386,0
GC,I,20250108,124000,2661.1,2662.5,2661.1,2661.4,583,0
GC,I,20250108,124500,2661.5,2663.5,2660.8,2663.0,666,0
GC,I,20250108,125000,2663.0,2664.2,2662.8,2662.9,730,0
GC,I,20250108,125500,2662.8,2663.7,2662.5,2663.3,300,0
GC,I,20250108,130000,2663.3,2664.8,2663.1,2664.1,263,0
GC,I,20250108,130500,2664.1,2664.4,2663.1,2663.3,265,0
GC,I,20250108,131000,2663.3,2664.3,2662.7,2664.0,304,0
GC,I,20250108,131500,2664.1,2664.1,2663.0,2663.0,160,0
GC,I,20250108,132000,2663.0,2663.1,2660.6,2660.6,463,0
GC,I,20250108,132500,2660.6,2661.8,2659.0,2659.6,676,0
GC,I,20250108,133000,2659.6,2661.5,2658.9,2660.8,476,0
GC,I,20250108,133500,2660.9,2662.7,2660.1,2662.2,494,0
GC,I,20250108,134000,2662.3,2664.0,2662.2,2663.9,526,0
GC,I,20250108,134500,2664.0,2664.2,2662.7,2663.8,298,0
GC,I,20250108,135000,2663.8,2665.9,2663.8,2665.9,619,0
GC,I,20250108,135500,2665.8,2666.5,2665.1,2665.4,445,0
GC,I,20250108,140000,2665.4,2665.9,2664.8,2665.7,400,0
GC,I,20250108,140500,2665.8,2671.3,2665.4,2670.0,2490,0
GC,I,20250108,141000,2670.0,2671.7,2669.2,2671.5,1128,0
GC,I,20250108,141500,2671.6,2672.1,2669.7,2670.2,860,0
GC,I,20250108,142000,2670.1,2672.6,2669.7,2670.0,1087,0
GC,I,20250108,142500,2670.1,2674.1,2669.1,2673.5,1820,0
GC,I,20250108,143000,2673.6,2673.8,2663.5,2669.8,1910,0
GC,I,20250108,143500,2668.0,2670.9,2666.8,2667.6,1632,0
GC,I,20250108,144000,2667.6,2671.9,2666.2,2669.9,1258,0
GC,I,20250108,144500,2669.9,2672.6,2669.7,2672.2,785,0
GC,I,20250108,145000,2672.1,2673.2,2670.5,2671.2,743,0
